Landscape,id,SurveyYear,GS,Necessary,Have,Quantity
crossriver,7001,2017,drinking water 15min,1,1,0
crossriver,7001,2017,cocoa dryer,1,0,0
crossriver,7001,2017,access bank,0,0,0
crossriver,7001,2017,hurricane lamp,1,1,0
crossriver,7001,2017,tv,1,1,1
crossriver,7001,2017,new clothes,1,1,0
crossriver,7001,2017,access employment,1,1,0
crossriver,7001,2017,access maternity,1,1,0
crossriver,7001,2017,chain saw,1,0,0
crossriver,7001,2017,moto,1,1,1
crossriver,7001,2017,car,0,0,0
crossriver,7001,2017,matress,1,1,1
crossriver,7001,2017,phone,1,1,1
crossriver,7001,2017,hair dressing,1,1,0
crossriver,7001,2017,agric extens service,1,0,0
crossriver,7001,2017,chair,1,1,6
crossriver,7001,2017,agric loan,1,0,0
crossriver,7001,2017,access skill aquisition,1,0,0
crossriver,7001,2017,sec educ,1,0,0
crossriver,7001,2017,wc,1,1,1
crossriver,7001,2017,health workers,1,1,1
crossriver,7001,2017,fridge,1,0,0
crossriver,7001,2017,sport field,1,1,0
crossriver,7001,2017,access road,1,0,0
crossriver,7001,2017,radio,1,1,0
crossriver,7001,2017,meals 3 day,1,1,0
crossriver,7001,2017,access cassava machine,1,0,0
crossriver,7001,2017,barbing salon,1,0,0
crossriver,7001,2017,wooden metal house,1,0,0
crossriver,7001,2017,generator,1,1,1
crossriver,7001,2017,machete,1,1,2
crossriver,7001,2017,sewing machine,1,0,0
crossriver,7001,2017,access market,1,1,0
crossriver,7002,2017,moto,1,1,1
crossriver,7002,2017,chain saw,0,0,0
crossriver,7002,2017,agric extens service,1,0,0
crossriver,7002,2017,access road,1,0,0
crossriver,7002,2017,access maternity,1,0,0
crossriver,7002,2017,access employment,1,1,2
crossriver,7002,2017,meals 3 day,1,1,0
crossriver,7002,2017,phone,1,1,7
crossriver,7002,2017,radio,1,1,4
crossriver,7002,2017,drinking water 15min,1,1,0
crossriver,7002,2017,hair dressing,1,0,0
crossriver,7002,2017,tv,1,1,1
crossriver,7002,2017,wooden metal house,1,1,3
crossriver,7002,2017,sewing machine,1,1,2
crossriver,7002,2017,new clothes,1,0,0
crossriver,7002,2017,access cassava machine,1,0,0
crossriver,7002,2017,sport field,1,1,1
crossriver,7002,2017,machete,1,0,0
crossriver,7002,2017,hurricane lamp,1,1,5
crossriver,7002,2017,chair,1,1,6
crossriver,7002,2017,barbing salon,1,0,0
crossriver,7002,2017,access bank,1,0,0
crossriver,7002,2017,fridge,1,0,0
crossriver,7002,2017,matress,1,1,7
crossriver,7002,2017,access market,1,1,0
crossriver,7002,2017,sec educ,1,1,0
crossriver,7002,2017,access skill aquisition,1,0,0
crossriver,7002,2017,generator,1,1,3
crossriver,7002,2017,agric loan,1,0,0
crossriver,7002,2017,health workers,1,1,1
crossriver,7002,2017,wc,1,1,2
crossriver,7002,2017,car,1,0,0
crossriver,7002,2017,cocoa dryer,1,0,0
crossriver,7003,2017,access market,1,1,0
crossriver,7003,2017,agric loan,1,0,0
crossriver,7003,2017,hurricane lamp,1,1,1
crossriver,7003,2017,car,0,0,0
crossriver,7003,2017,drinking water 15min,1,0,0
crossriver,7003,2017,barbing salon,1,0,0
crossriver,7003,2017,sport field,1,1,0
crossriver,7003,2017,new clothes,1,0,0
crossriver,7003,2017,access skill aquisition,1,0,0
crossriver,7003,2017,meals 3 day,1,1,0
crossriver,7003,2017,machete,1,1,2
crossriver,7003,2017,moto,1,0,0
crossriver,7003,2017,sewing machine,1,0,0
crossriver,7003,2017,access road,1,1,0
crossriver,7003,2017,chain saw,1,0,0
crossriver,7003,2017,phone,1,0,0
crossriver,7003,2017,generator,1,1,1
crossriver,7003,2017,agric extens service,1,1,0
crossriver,7003,2017,access employment,1,0,0
