Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,BenefProject,HhTypeControl,female
lac_tele,6303,2021,.5766767859458923,619650,bouanela,.502934992313385,17.28945350646973,.5035881695041375,17.28819752959614,1980,fishing,agriculture,,,male,41,babole,0,15,1,1,0,0
lac_tele,66,2015,.512908935546875,94750,bouanela,.5031200051307678,17.28964042663574,.5035881695041375,17.28819752959614,,agriculture,hunt,,,male,40,Babole,0,5,,,,0
lac_tele,6307,2021,.5223796963691711,115220,bouanela,.5034883618354797,17.28892517089844,.5035881695041375,17.28819752959614,1997,agriculture,fishing,,,female,69,babole,0,6,1,0,1,1
lac_tele,6344,2021,.5251405835151672,152430,bouanela,.5035558938980103,17.2911262512207,.5035881695041375,17.28819752959614,1997,fishing,agriculture,alcoholicdistillation,smallbusiness,female,24,babole,0,4,1,1,0,1
lac_tele,6275,2021,.4968416392803192,309380,bouanela,.5035824179649353,17.28393936157227,.5035881695041375,17.28819752959614,1997,fishing,agriculture,,,male,59,babole,0,10,1,0,0,0
lac_tele,5610,2018,.2599225640296936,350237.5,bouanela,.5035881400108337,17.28819847106934,.5035881695041375,17.28819752959614,2017,agriculture,,alcoholicdistillation,fishing,female,36,babole,0,5,0,0,1,1
lac_tele,73,2015,.6801782846450806,345650,bouanela,.5035881400108337,17.28819847106934,.5035881695041375,17.28819752959614,,agriculture,fishing,,,male,40,,0,5,,,,0
lac_tele,5608,2018,.2614351511001587,411625,bouanela,.5035881400108337,17.28819847106934,.5035881695041375,17.28819752959614,1997,fishing,agriculture,alcoholicdistillation,,male,62,babole,0,8,0,1,1,0
lac_tele,6343,2021,.5522891283035278,627450,bouanela,.5035881400108337,17.28819847106934,.5035881695041375,17.28819752959614,2012,fishing,agriculture,alcoholicdistillation,livestock,male,47,babole,0,9,1,1,0,0
lac_tele,5607,2018,.290900319814682,973850,bouanela,.5035881400108337,17.28819847106934,.5035881695041375,17.28819752959614,2017,agriculture,alcoholicdistillation,,,female,27,babole,0,3,0,0,1,1
