landscape,id,surveyyear,gs,necessary,have,quantity,price
makira,10001,2017,vet service,TRUE,FALSE,0,null
makira,10001,2017,enough field,TRUE,TRUE,0,null
makira,10001,2017,new clothes,TRUE,TRUE,0,null
makira,10001,2017,cookstove,TRUE,FALSE,0,null
makira,10001,2017,meals 3 day,TRUE,TRUE,0,null
makira,10001,2017,tv,TRUE,TRUE,1,null
makira,10001,2017,electricity village,FALSE,FALSE,0,null
makira,10001,2017,radio,TRUE,TRUE,1,null
makira,10001,2017,access high school,TRUE,FALSE,0,null
makira,10001,2017,agric training,TRUE,TRUE,0,null
makira,10001,2017,access cutting machine,TRUE,FALSE,0,null
makira,10001,2017,machete,TRUE,TRUE,3,null
makira,10001,2017,chicken,TRUE,TRUE,1,null
makira,10001,2017,solar panel,TRUE,TRUE,1,null
makira,10001,2017,plough,TRUE,FALSE,0,null
makira,10001,2017,sewing machine,TRUE,FALSE,0,null
makira,10001,2017,wooden house,TRUE,TRUE,1,null
makira,10001,2017,dam,TRUE,TRUE,0,null
makira,10001,2017,market,TRUE,FALSE,0,null
makira,10001,2017,drinking water 15min,TRUE,FALSE,0,null
makira,10001,2017,access road,TRUE,FALSE,0,null
makira,10001,2017,mosquito net,TRUE,TRUE,3,null
makira,10001,2017,library,TRUE,FALSE,0,null
makira,10001,2017,phone,TRUE,TRUE,2,null
makira,10001,2017,bank,TRUE,FALSE,0,null
makira,10001,2017,firewood everyday,TRUE,TRUE,0,null
makira,10001,2017,moto,TRUE,FALSE,0,null
makira,10001,2017,zebu,TRUE,TRUE,1,null
makira,10001,2017,wc,TRUE,TRUE,1,null
makira,10001,2017,pot,TRUE,TRUE,2,null
makira,10001,2017,local hospital,TRUE,FALSE,0,null
makira,10001,2017,sport field,TRUE,TRUE,0,null
makira,10001,2017,security,TRUE,TRUE,0,null
makira,10001,2017,kindergarden,TRUE,FALSE,0,null
makira,10001,2017,primary school,TRUE,TRUE,0,null
makira,10002,2017,zebu,TRUE,FALSE,0,null
makira,10002,2017,wooden house,TRUE,TRUE,1,null
