Landscape,id,SurveyYear,WBI,HHwealth,Village,Lat,Long,vlgLat,vlgLong,Arrival,Livelihood1,Livelihood2,Livelihood3,Livelihood4,Gender,age,Ethnicity,indig,HHsize,BenefPa,HhTypeControl
makira,10001,2017,.5977166295051575,14625461,besariaka,-14.812689,49.70618,-14.813714,49.705894,2000,agriculture,,,,man,44,tsimihety,0,5,1,0
makira,10002,2017,.5140932202339172,11543257,besariaka,-14.813545,49.707151,-14.813714,49.705894,1988,agriculture,,,,man,29,tsimihety,0,3,1,0
makira,10003,2017,.38873291015625,2024873.5,besariaka,-14.813763,49.707047,-14.813714,49.705894,2013,agriculture,,,,man,49,betsimisaraka,0,7,1,0
makira,10004,2017,.4833988547325134,19063524,besariaka,-14.814803,49.70535,-14.813714,49.705894,2000,agriculture,,,,man,58,tsimihety,0,10,1,0
makira,10005,2017,.3977166414260864,10960746,besariaka,-14.814983,49.705692,-14.813714,49.705894,1997,agriculture,,,,man,20,tsimihety,0,3,1,0
makira,10006,2017,.4886019229888916,25920856,besariaka,-14.814253,49.705401,-14.813714,49.705894,1975,agriculture,,,,man,42,other,1,6,1,0
makira,10007,2017,.5157027840614319,13822329,besariaka,-14.81297,49.705438,-14.813714,49.705894,1994,agriculture,,,,man,60,tsimihety,0,4,1,0
makira,10008,2017,.3640651404857635,2086032,besariaka,-14.813861,49.705413,-14.813714,49.705894,2011,agriculture,,,,man,41,betsimisaraka,0,5,1,0
makira,10009,2017,.5099008083343506,14633643,besariaka,-14.813651,49.705616,-14.813714,49.705894,1977,agriculture,,,,man,67,other,1,7,1,0
makira,10010,2017,.3938237130641937,1921555.125,besariaka,-14.812402,49.706115,-14.813714,49.705894,2011,agriculture,,,,man,32,makoa,1,6,1,0
makira,10011,2017,.4828748106956482,13269557,besariaka,-14.813939,49.705436,-14.813714,49.705894,1978,agriculture,,,,man,72,antaimoro,1,4,1,0
makira,10012,2017,.4558862149715424,14545256,soamiangona,,,,,2002,agriculture,livestock,,,man,26,tsimihety,0,5,1,0
makira,10013,2017,.4261276423931122,3770455.5,soamiangona,,,,,2002,agriculture,livestock,,,man,19,tsimihety,0,2,1,0
makira,10014,2017,.4206251204013824,8410854,soamiangona,,,,,2007,agriculture,livestock,,,man,46,antaimoro,1,7,0,0
makira,10015,2017,.6716451644897461,35091568,soamiangona,,,,,2003,agriculture,livestock,,,man,35,tsimihety,0,9,1,0
makira,10016,2017,.456784576177597,11461350,soamiangona,,,,,2000,agriculture,livestock,,,man,41,makoa,1,4,1,0
makira,10017,2017,.3953584134578705,14995155,soamiangona,,,,,2001,agriculture,,,,woman,65,makoa,1,4,0,0
makira,10018,2017,.3951338231563568,2343483.75,soamiangona,,,,,2007,agriculture,livestock,,,man,65,tsimihety,0,5,1,0
makira,10019,2017,.3953958451747894,2144424,soamiangona,,,,,2000,agriculture,,,,man,59,makoa,1,2,1,0
makira,10020,2017,.5114355683326721,25469462,soamiangona,,,,,2004,agriculture,livestock,,,man,41,antaimoro,1,5,1,0
makira,10021,2017,.51169753074646,29021260,soamiangona,,,,,2004,agriculture,livestock,,,man,45,tsimihety,0,7,1,0
makira,10022,2017,.4531911015510559,13444617,soamiangona,,,,,2000,agriculture,livestock,,,man,59,tsimihety,0,7,1,0
makira,10023,2017,.7151413559913635,27556388,androka,-14.687624,49.773795,-14.687476,49.774044,1973,agriculture,business,livestock,,man,44,tsimihety,0,6,1,0
makira,10024,2017,.3339696824550629,4055298.5,soamiangona,,,,,2003,agriculture,,,,woman,45,tsimihety,0,6,1,0
makira,10025,2017,.7125959396362305,34147000,androka,-14.68742,49.773552,-14.687476,49.774044,1992,agriculture,business,livestock,,man,51,tsimihety,0,5,1,0
makira,10026,2017,.3654126822948456,3940847.5,soamiangona,,,,,2002,agriculture,,,,man,40,antaimoro,1,9,1,0
makira,10027,2017,.4504211246967316,26538686,soamiangona,,,,,2004,agriculture,,,,man,30,antaimoro,1,6,1,0
makira,10028,2017,.7611079812049866,42717656,androka,-14.68753,49.773667,-14.687476,49.774044,1961,agriculture,livestock,,,man,56,tsimihety,0,7,1,0
makira,10029,2017,.5835673213005066,26777226,soamiangona,,,,,2000,agriculture,business,,,man,39,tsimihety,0,5,1,0
makira,10030,2017,.6598540544509888,12638106,androka,-14.68761,49.774699,-14.687476,49.774044,1962,agriculture,teacher,,,man,55,tsimihety,0,8,1,0
makira,10031,2017,.5624929666519165,12968055,soamiangona,,,,,2004,agriculture,livestock,,,man,39,tsimihety,0,5,1,0
makira,10032,2017,.5076923370361328,25518316,soamiangona,,,,,2001,agriculture,livestock,,,man,51,tsimihety,0,9,1,0
makira,10033,2017,.486019104719162,11702986,androka,-14.687953,49.77439,-14.687476,49.774044,1958,agriculture,livestock,,,man,59,tsimihety,0,3,1,0
makira,10034,2017,.4550252556800842,17248888,soamiangona,,,,,2002,agriculture,,,,man,33,antaimoro,1,6,1,0
makira,10035,2017,.3653752505779266,2425069.25,soamiangona,,,,,2001,agriculture,,,,man,47,antaimoro,1,9,1,0
makira,10036,2017,.5606213808059692,10227618,androka,-14.6873,49.773916,-14.687476,49.774044,1991,agriculture,,,,man,26,tsimihety,0,2,1,0
makira,10037,2017,.648549497127533,22224882,androka,-14.686932,49.774679,-14.687476,49.774044,1971,agriculture,business,,,woman,62,betsileo,1,4,1,0
makira,10038,2017,.6669661402702332,29321816,androka,-14.687483,49.774861,-14.687476,49.774044,1982,agriculture,,,,man,40,sakalava,1,5,1,0
makira,10039,2017,.4849335551261902,2506828.75,androka,-14.687269,49.773281,-14.687476,49.774044,1965,agriculture,livestock,,,man,52,tsimihety,0,2,1,0
makira,10040,2017,.6028074026107788,18911806,soamiangona,,,,,2001,agriculture,,,,man,51,tsimihety,0,7,1,0
makira,10041,2017,.6293467879295349,12611924,androka,-14.687365,49.772817,-14.687476,49.774044,1998,agriculture,livestock,,,man,46,tsimihety,0,4,1,0
makira,10042,2017,.5419052839279175,21465852,soamiangona,,,,,2000,agriculture,livestock,,,man,28,tsimihety,0,5,1,0
makira,10043,2017,.6836609244346619,21515998,androka,-14.687551,49.773442,-14.687476,49.774044,1971,agriculture,livestock,,,man,46,tsimihety,0,3,1,0
makira,10044,2017,.641811728477478,13555379,androka,-14.687419,49.773824,-14.687476,49.774044,1964,agriculture,,,,man,53,betsimisaraka,0,2,1,0
