landscape,surveyyear,id,gs,necessary,have,quantity,price
ndoki,2018,5199,gun,1,1,1,null
ndoki,2018,5199,women decision village,1,1,0,null
ndoki,2018,5199,pot,1,1,8,null
ndoki,2018,5199,meal 2 day,1,1,0,null
ndoki,2018,5199,hurricane lamp,1,1,2,null
ndoki,2018,5199,phone,1,1,1,null
ndoki,2018,5199,jewelry,1,0,3,null
ndoki,2018,5199,chicken,1,1,40,null
ndoki,2018,5199,drinking water 15min,1,0,0,null
ndoki,2018,5199,protein once week,1,1,0,null
ndoki,2018,5199,freezer,0,0,0,null
ndoki,2018,5199,money school,1,1,0,null
ndoki,2018,5199,women care provided women,1,0,0,null
ndoki,2018,5199,canoe,1,1,2,null
ndoki,2018,5199,moto,0,0,0,null
ndoki,2018,5199,new clothes,0,0,0,null
ndoki,2018,5199,sport ground,1,1,0,null
ndoki,2018,5199,access employment,1,0,0,null
ndoki,2018,5199,hairdresser,1,0,0,null
ndoki,2018,5199,fishing net,1,1,12,null
ndoki,2018,5199,equipped pharmacy village,1,0,0,null
ndoki,2018,5199,field half ha,1,1,3,null
ndoki,2018,5199,lance,1,1,3,null
ndoki,2018,5199,tv,0,0,0,null
ndoki,2018,5199,cookstove,0,0,0,null
ndoki,2018,5199,work without discrimination,1,1,0,null
ndoki,2018,5199,brick house metal roof,1,0,0,null
ndoki,2018,5199,machete,1,1,6,null
ndoki,2018,5199,generator,0,0,0,null
ndoki,2018,5199,jerrycan 25l,1,1,4,null
ndoki,2018,5199,natural resources 1h,1,1,0,null
ndoki,2018,5199,sewing machine,0,0,0,null
ndoki,2018,5199,bed and mattress,1,1,3,null
ndoki,2018,5199,table chairs,1,0,0,null
ndoki,2018,5199,adult learning,1,0,0,null
ndoki,2018,5199,sheep breeding,1,0,0,null
ndoki,2018,5199,mosquito net,1,1,6,null
ndoki,2018,5200,brick house metal roof,1,0,0,null
ndoki,2018,5200,access employment,1,0,0,null
ndoki,2018,5200,table chairs,1,0,0,null
ndoki,2018,5200,hairdresser,0,0,0,null
ndoki,2018,5200,equipped pharmacy village,1,0,0,null
ndoki,2018,5200,field half ha,1,1,2,null
ndoki,2018,5200,drinking water 15min,1,1,0,null
ndoki,2018,5200,money school,1,1,0,null
ndoki,2018,5200,tv,1,0,0,null
ndoki,2018,5200,chicken,1,1,15,null
ndoki,2018,5200,gun,0,0,0,null
ndoki,2018,5200,generator,1,0,0,null
ndoki,2018,5200,machete,1,1,4,null
ndoki,2018,5200,sewing machine,0,0,0,null
ndoki,2018,5200,women care provided women,1,0,0,null
ndoki,2018,5200,jerrycan 25l,0,1,2,null
ndoki,2018,5200,protein once week,1,1,0,null
ndoki,2018,5200,jewelry,1,1,2,null
ndoki,2018,5200,natural resources 1h,1,1,0,null
ndoki,2018,5200,fishing net,1,0,0,null
ndoki,2018,5200,mosquito net,1,1,3,null
ndoki,2018,5200,pot,1,1,4,null
ndoki,2018,5200,cookstove,0,1,1,null
ndoki,2018,5200,canoe,1,0,0,null
ndoki,2018,5200,work without discrimination,1,1,0,null
ndoki,2018,5200,meal 2 day,1,1,0,null
ndoki,2018,5200,bed and mattress,1,1,2,null
ndoki,2018,5200,moto,0,0,0,null
ndoki,2018,5200,sport ground,1,1,0,null
ndoki,2018,5200,hurricane lamp,1,1,2,null
ndoki,2018,5200,freezer,0,0,0,null
ndoki,2018,5200,sheep breeding,1,0,0,null
ndoki,2018,5200,lance,0,0,0,null
ndoki,2018,5200,women decision village,1,1,0,null
ndoki,2018,5200,new clothes,1,1,0,null
ndoki,2018,5200,adult learning,1,0,0,null
ndoki,2018,5200,phone,0,1,1,null
ndoki,2018,5201,cookstove,0,0,0,null
ndoki,2018,5201,field half ha,1,0,2,null
ndoki,2018,5201,access employment,1,0,0,null
ndoki,2018,5201,protein once week,1,1,0,null
ndoki,2018,5201,mosquito net,1,1,3,null
ndoki,2018,5201,sport ground,1,1,0,null
ndoki,2018,5201,brick house metal roof,0,0,0,null
ndoki,2018,5201,equipped pharmacy village,1,0,0,null
ndoki,2018,5201,phone,0,0,0,null
ndoki,2018,5201,lance,1,1,4,null
ndoki,2018,5201,natural resources 1h,1,1,0,null
ndoki,2018,5201,chicken,1,1,7,null
ndoki,2018,5201,bed and mattress,1,1,3,null
ndoki,2018,5201,jerrycan 25l,1,1,3,null
ndoki,2018,5201,women decision village,1,1,0,null
ndoki,2018,5201,work without discrimination,1,0,0,null
ndoki,2018,5201,moto,0,0,0,null
ndoki,2018,5201,gun,1,0,0,null
ndoki,2018,5201,hurricane lamp,1,1,1,null
ndoki,2018,5201,tv,0,0,0,null
ndoki,2018,5201,jewelry,1,1,5,null
ndoki,2018,5201,generator,0,0,0,null
ndoki,2018,5201,pot,1,1,4,null
ndoki,2018,5201,money school,1,0,0,null
ndoki,2018,5201,sheep breeding,1,1,2,null
ndoki,2018,5201,fishing net,1,1,3,null
ndoki,2018,5201,adult learning,1,0,0,null
ndoki,2018,5201,meal 2 day,1,1,0,null
ndoki,2018,5201,canoe,1,1,2,null
ndoki,2018,5201,women care provided women,1,0,0,null
ndoki,2018,5201,table chairs,1,0,0,null
ndoki,2018,5201,sewing machine,0,0,0,null
ndoki,2018,5201,new clothes,1,1,0,null
ndoki,2018,5201,hairdresser,0,0,0,null
ndoki,2018,5201,drinking water 15min,1,1,0,null
ndoki,2018,5201,machete,1,1,2,null
ndoki,2018,5201,freezer,0,0,0,null
ndoki,2018,5202,work without discrimination,1,0,0,null
ndoki,2018,5202,sewing machine,0,0,0,null
ndoki,2018,5202,women decision village,1,0,0,null
ndoki,2018,5202,jerrycan 25l,1,0,0,null
ndoki,2018,5202,chicken,1,0,0,null
ndoki,2018,5202,bed and mattress,1,0,0,null
ndoki,2018,5202,drinking water 15min,1,0,0,null
ndoki,2018,5202,hurricane lamp,1,0,0,null
ndoki,2018,5202,pot,1,1,1,null
ndoki,2018,5202,canoe,1,0,0,null
ndoki,2018,5202,protein once week,1,1,0,null
ndoki,2018,5202,gun,1,0,0,null
ndoki,2018,5202,money school,1,0,0,null
ndoki,2018,5202,natural resources 1h,1,1,0,null
ndoki,2018,5202,freezer,0,0,0,null
ndoki,2018,5202,tv,0,0,0,null
ndoki,2018,5202,equipped pharmacy village,1,0,0,null
ndoki,2018,5202,women care provided women,1,0,0,null
ndoki,2018,5202,lance,1,0,0,null
ndoki,2018,5202,machete,1,1,1,null
ndoki,2018,5202,moto,0,0,0,null
ndoki,2018,5202,generator,0,0,0,null
ndoki,2018,5202,sport ground,1,1,0,null
ndoki,2018,5202,mosquito net,1,0,0,null
ndoki,2018,5202,fishing net,1,1,2,null
ndoki,2018,5202,access employment,1,0,0,null
ndoki,2018,5202,jewelry,1,1,2,null
ndoki,2018,5202,new clothes,1,1,0,null
ndoki,2018,5202,field half ha,1,1,2,null
ndoki,2018,5202,meal 2 day,1,0,0,null
ndoki,2018,5202,hairdresser,1,0,0,null
ndoki,2018,5202,sheep breeding,1,0,0,null
ndoki,2018,5202,adult learning,1,0,0,null
ndoki,2018,5202,phone,0,0,0,null
ndoki,2018,5202,table chairs,0,0,0,null
ndoki,2018,5202,brick house metal roof,0,0,0,null
ndoki,2018,5202,cookstove,0,0,0,null
ndoki,2018,5203,brick house metal roof,0,0,0,null
