landscape,id,surveyyear,nr,nrcollect
ndoki,5199,2018,firewood,3
ndoki,5199,2018,marantaceas,0
ndoki,5199,2018,gnetum,2
ndoki,5199,2018,liana,0
ndoki,5199,2018,bushmeat,0
ndoki,5200,2018,gnetum,2
ndoki,5200,2018,bushmeat,0
ndoki,5200,2018,marantaceas,2
ndoki,5200,2018,firewood,2
ndoki,5200,2018,liana,0
ndoki,5201,2018,bushmeat,0
ndoki,5201,2018,gnetum,2
ndoki,5201,2018,firewood,2
ndoki,5201,2018,liana,1
ndoki,5201,2018,marantaceas,1
ndoki,5202,2018,gnetum,7
ndoki,5202,2018,firewood,3
ndoki,5202,2018,liana,0
ndoki,5202,2018,marantaceas,7
ndoki,5202,2018,bushmeat,1
ndoki,5203,2018,marantaceas,3
ndoki,5203,2018,firewood,3
ndoki,5203,2018,gnetum,4
ndoki,5203,2018,bushmeat,1
ndoki,5203,2018,liana,3
ndoki,5204,2018,gnetum,2
ndoki,5204,2018,bushmeat,1
ndoki,5204,2018,firewood,2
ndoki,5204,2018,liana,0
ndoki,5204,2018,marantaceas,2
ndoki,5205,2018,gnetum,0
ndoki,5205,2018,bushmeat,2
ndoki,5205,2018,firewood,0
ndoki,5205,2018,liana,4
ndoki,5205,2018,marantaceas,0
ndoki,5206,2018,firewood,6
ndoki,5206,2018,gnetum,7
ndoki,5206,2018,marantaceas,5
ndoki,5206,2018,bushmeat,1
ndoki,5206,2018,liana,0
ndoki,5207,2018,bushmeat,1
ndoki,5207,2018,liana,0
ndoki,5207,2018,gnetum,3
ndoki,5207,2018,marantaceas,1
ndoki,5207,2018,firewood,3
ndoki,5208,2018,gnetum,4
ndoki,5208,2018,marantaceas,3
ndoki,5208,2018,firewood,3
ndoki,5208,2018,liana,2
ndoki,5208,2018,bushmeat,1
ndoki,5209,2018,liana,0
ndoki,5209,2018,gnetum,4
ndoki,5209,2018,bushmeat,0
ndoki,5209,2018,firewood,3
ndoki,5209,2018,marantaceas,2
ndoki,5210,2018,liana,0
ndoki,5210,2018,firewood,7
ndoki,5210,2018,gnetum,4
ndoki,5210,2018,marantaceas,4
ndoki,5210,2018,bushmeat,2
ndoki,5211,2018,marantaceas,2
ndoki,5211,2018,liana,0
ndoki,5211,2018,bushmeat,0
ndoki,5211,2018,gnetum,3
ndoki,5211,2018,firewood,3
ndoki,5212,2018,bushmeat,2
ndoki,5212,2018,firewood,2
ndoki,5212,2018,gnetum,1
ndoki,5212,2018,liana,0
ndoki,5212,2018,marantaceas,4
ndoki,5213,2018,liana,1
ndoki,5213,2018,firewood,3
ndoki,5213,2018,marantaceas,2
ndoki,5213,2018,gnetum,3
ndoki,5213,2018,bushmeat,2
ndoki,5214,2018,bushmeat,1
ndoki,5214,2018,marantaceas,2
ndoki,5214,2018,firewood,3
ndoki,5214,2018,gnetum,4
ndoki,5214,2018,liana,0
ndoki,5215,2018,gnetum,3
ndoki,5215,2018,bushmeat,0
ndoki,5215,2018,marantaceas,3
ndoki,5215,2018,firewood,6
ndoki,5215,2018,liana,0
ndoki,5216,2018,liana,0
ndoki,5216,2018,gnetum,4
ndoki,5216,2018,marantaceas,2
ndoki,5216,2018,firewood,2
ndoki,5216,2018,bushmeat,1
ndoki,5217,2018,marantaceas,7
ndoki,5217,2018,bushmeat,1
ndoki,5217,2018,liana,2
ndoki,5217,2018,firewood,7
ndoki,5217,2018,gnetum,7
ndoki,5218,2018,gnetum,5
ndoki,5218,2018,marantaceas,3
